,postcode,positive,negative
0,16001,2136,11630
1,16002,792,3822
2,16003,19,92
3,16016,0,
4,16017,,
5,16018,0,0
6,16020,55,256
7,16021,,8
8,16022,25,97
9,16023,573,1374
10,16024,23,79
11,16025,356,1274
12,16027,12,101
13,16028,119,439
14,16029,36,177
15,16030,15,60
16,16033,342,1708
17,16034,91,410
18,16035,8,17
19,16036,9,24
20,16037,263,1355
21,16038,221,735
22,16039,81,86
23,16040,34,183
24,16041,102,438
25,16045,43,350
26,16046,1189,6487
27,16048,7,21
28,16049,148,610
29,16050,70,357
30,16051,122,702
31,16052,88,595
32,16053,189,1004
33,16054,15,72
34,16055,561,2557
35,16056,324,1382
36,16057,608,2983
37,16058,0,5
38,16059,541,2784
39,16061,105,567
40,16063,439,2595
41,16066,1865,10038
