postcode,positive,negative
16001,2136,11630
16002,792,3822
16003,19,92
16016,0,
16017,,
16018,0,0
16020,55,256
16021,,8
16022,25,97
16023,573,1374
16024,23,79
16025,356,1274
16027,12,101
16028,119,439
16029,36,177
16030,15,60
16033,342,1708
16034,91,410
16035,8,17
16036,9,24
16037,263,1355
16038,221,735
16039,81,86
16040,34,183
16041,102,438
16045,43,350
16046,1189,6487
16048,7,21
16049,148,610
16050,70,357
16051,122,702
16052,88,595
16053,189,1004
16054,15,72
16055,561,2557
16056,324,1382
16057,608,2983
16058,0,5
16059,541,2784
16061,105,567
16063,439,2595
16066,1865,10038
