,hosp_yn,January, ,February, ,March, ,April, ,May, ,June, ,July, 
0 - 17 years,No,139.0,,67.0,,95.0,,94.0,,38.0,,3.0,,7.0,
0 - 17 years,Unknown,164.0,,88.0,,166.0,,212.0,,109.0,,17.0,,4.0,
18 to 49 years,No,192.0,,129.0,,199.0,,176.0,,65.0,,10.0,,14.0,
18 to 49 years,Unknown,1245.0,,421.0,,575.0,,642.0,,226.0,,78.0,,14.0,
18 to 49 years,Yes,2.0,,3.0,,3.0,,7.0,,2.0,,,,1.0,
50 to 64 years,No,95.0,,54.0,,96.0,,49.0,,34.0,,3.0,,19.0,
50 to 64 years,Unknown,676.0,,200.0,,272.0,,240.0,,121.0,,32.0,,6.0,
50 to 64 years,Yes,6.0,,2.0,,6.0,,11.0,,2.0,,4.0,,2.0,
65+ years,No,69.0,,89.0,,64.0,,57.0,,24.0,,2.0,,4.0,
65+ years,Unknown,308.0,,158.0,,265.0,,44.0,,14.0,,7.0,,6.0,
65+ years,Yes,23.0,,26.0,,18.0,,23.0,,6.0,,3.0,,1.0,
Female,No,,275.0,,178.0,,238.0,,197.0,,85.0,,7.0,,20.0
Female,Unknown,,1248.0,,461.0,,643.0,,550.0,,221.0,,67.0,,15.0
Female,Yes,,11.0,,11.0,,16.0,,23.0,,5.0,,5.0,,4.0
Male,No,,220.0,,155.0,,216.0,,177.0,,76.0,,11.0,,17.0
Male,Unknown,,1145.0,,400.0,,635.0,,579.0,,249.0,,67.0,,11.0
Male,Yes,,20.0,,20.0,,11.0,,18.0,,5.0,,2.0,,
