,icu_yn,January, ,February, ,March, ,April, ,May, ,June, ,July, 
0 - 17 years,No,95.0,,31.0,,19.0,,26.0,,9.0,,1.0,,6.0,
0 - 17 years,Unknown,208.0,,124.0,,242.0,,280.0,,138.0,,19.0,,5.0,
18 to 49 years,No,28.0,,8.0,,9.0,,14.0,,3.0,,3.0,,13.0,
18 to 49 years,Unknown,1410.0,,545.0,,768.0,,809.0,,290.0,,85.0,,16.0,
18 to 49 years,Yes,1.0,,,,,,2.0,,,,,,,
50 to 64 years,No,18.0,,4.0,,11.0,,16.0,,5.0,,7.0,,20.0,
50 to 64 years,Unknown,759.0,,252.0,,359.0,,284.0,,152.0,,31.0,,7.0,
50 to 64 years,Yes,,,,,4.0,,,,,,1.0,,,
65+ years,Missing,,,,,,,,,,,,,1.0,
65+ years,No,38.0,,78.0,,68.0,,65.0,,26.0,,3.0,,3.0,
65+ years,Unknown,358.0,,193.0,,276.0,,56.0,,18.0,,9.0,,7.0,
65+ years,Yes,4.0,,2.0,,3.0,,3.0,,,,,,,
Female,Missing,,,,,,,,,,,,,,1.0
Female,No,,93.0,,59.0,,58.0,,65.0,,18.0,,5.0,,19.0
Female,Unknown,,1441.0,,590.0,,835.0,,702.0,,293.0,,73.0,,19.0
Female,Yes,,,,1.0,,4.0,,3.0,,,,1.0,,
Male,No,,86.0,,60.0,,49.0,,55.0,,25.0,,9.0,,17.0
Male,Unknown,,1294.0,,514.0,,810.0,,717.0,,305.0,,71.0,,11.0
Male,Yes,,5.0,,1.0,,3.0,,2.0,,,,,,
