postcode,positive,negative,Population,Cumulative Incidence
16001,2249,11882,38847.0,5789.38
16002,838,3909,15257.0,5492.56
16003,19,95,,
16018,0,0,,
16020,61,264,1153.0,5290.55
16022,30,96,386.0,7772.02
16023,580,1415,4460.0,13004.48
16024,23,79,232.0,9913.79
16025,363,1300,5194.0,6988.83
16027,12,103,256.0,4687.5
16028,124,445,1615.0,7678.02
16029,37,183,742.0,4986.52
16030,15,60,297.0,5050.51
16033,353,1745,6260.0,5638.98
16034,96,422,1906.0,5036.73
16035,8,17,146.0,5479.45
16036,10,25,164.0,6097.56
16037,272,1402,4573.0,5947.96
16038,225,759,3592.0,6263.92
16039,81,95,,
16040,37,188,1023.0,3616.81
16041,103,449,2112.0,4876.89
16045,48,357,996.0,4819.28
16046,1231,6733,16699.0,7371.7
16048,7,22,142.0,4929.58
16049,155,622,3080.0,5032.47
16050,74,362,1373.0,5389.66
16051,132,716,2834.0,4657.73
16052,95,611,2534.0,3749.01
16053,196,1029,4518.0,4338.2
16054,15,75,377.0,3978.78
16055,575,2630,7996.0,7191.1
16056,339,1404,4785.0,7084.64
16057,641,3321,14624.0,4383.21
16058,0,5,,
16059,554,2868,8242.0,6721.67
16061,112,579,2556.0,4381.85
16063,452,2668,7005.0,6452.53
16066,1938,10365,30719.0,6308.8
